question_id,pipeline,top_k,page_match,chapter_match,section_match,label_match,matched_rank,metadata_filter_used,metadata_filter_fallback_used
Q01,baseline,5,0,0,0,0,,False,False
Q01,metadata,5,1,1,1,1,1,True,False
Q02,baseline,5,0,0,0,0,,False,False
Q02,metadata,5,1,1,1,1,1,True,False
Q03,baseline,5,0,0,0,0,,False,False
Q03,metadata,5,1,1,1,1,1,True,False
Q04,baseline,5,0,0,0,0,,False,False
Q04,metadata,5,1,1,1,1,1,True,False
Q05,baseline,5,0,0,0,0,,False,False
Q05,metadata,5,1,1,1,1,1,True,False
Q06,baseline,5,0,0,0,0,,False,False
Q06,metadata,5,1,1,1,1,1,True,False
Q07,baseline,5,0,0,0,0,,False,False
Q07,metadata,5,1,1,1,1,1,True,False
Q08,baseline,5,0,0,0,0,,False,False
Q08,metadata,5,1,1,1,1,1,True,False
Q09,baseline,5,0,0,0,0,,False,False
Q09,metadata,5,1,1,1,1,1,True,False
Q10,baseline,5,0,0,0,0,,False,False
Q10,metadata,5,1,1,1,1,1,True,False
Q11,baseline,5,0,0,0,0,,False,False
Q11,metadata,5,1,1,1,1,1,True,False
Q12,baseline,5,0,0,0,0,,False,False
Q12,metadata,5,1,1,1,1,1,True,False
Q13,baseline,5,0,0,0,0,,False,False
Q13,metadata,5,1,1,1,1,1,True,False
Q14,baseline,5,0,0,0,0,,False,False
Q14,metadata,5,1,1,1,1,1,True,False
Q15,baseline,5,0,0,0,0,,False,False
Q15,metadata,5,1,1,1,1,1,True,False
Q16,baseline,5,0,0,0,0,,False,False
Q16,metadata,5,1,1,1,1,1,True,False
Q17,baseline,5,0,0,0,0,,False,False
Q17,metadata,5,1,1,1,1,1,True,False
Q18,baseline,5,0,0,0,0,,False,False
Q18,metadata,5,1,1,1,1,1,True,False
Q19,baseline,5,0,0,0,0,,False,False
Q19,metadata,5,1,1,1,1,1,True,False
Q20,baseline,5,0,0,0,0,,False,False
Q20,metadata,5,1,1,1,1,1,True,False
Q21,baseline,5,0,0,0,0,,False,False
Q21,metadata,5,1,1,1,1,1,True,False
Q22,baseline,5,0,0,0,0,,False,False
Q22,metadata,5,1,1,1,1,1,True,False
Q23,baseline,5,0,0,0,0,,False,False
Q23,metadata,5,1,1,1,1,1,True,False
Q24,baseline,5,0,0,0,0,,False,False
Q24,metadata,5,1,1,1,1,1,True,False
Q25,baseline,5,0,0,0,0,,False,False
Q25,metadata,5,0,1,1,1,1,True,False
Q26,baseline,5,0,0,0,0,,False,False
Q26,metadata,5,1,1,1,1,1,True,False
Q27,baseline,5,0,0,0,0,,False,False
Q27,metadata,5,1,1,1,1,1,True,False
Q28,baseline,5,0,0,0,0,,False,False
Q28,metadata,5,1,1,1,1,1,True,False
Q29,baseline,5,0,0,0,0,,False,False
Q29,metadata,5,1,1,1,1,1,True,False
Q30,baseline,5,0,0,0,0,,False,False
Q30,metadata,5,1,1,1,1,1,True,False
Q31,baseline,5,0,0,0,0,,False,False
Q31,metadata,5,1,1,1,1,1,True,False
Q32,baseline,5,0,0,0,0,,False,False
Q32,metadata,5,1,1,1,1,1,True,False
Q33,baseline,5,0,0,0,0,,False,False
Q33,metadata,5,1,1,1,1,1,True,False
Q34,baseline,5,0,0,0,0,,False,False
Q34,metadata,5,0,1,1,1,1,True,False
Q35,baseline,5,0,0,0,0,,False,False
Q35,metadata,5,1,1,1,1,1,True,False
Q36,baseline,5,0,0,0,0,,False,False
Q36,metadata,5,1,1,1,1,1,True,False
Q37,baseline,5,0,0,0,0,,False,False
Q37,metadata,5,1,1,1,1,1,True,False
Q38,baseline,5,0,0,0,0,,False,False
Q38,metadata,5,1,1,1,1,1,True,False
Q39,baseline,5,0,0,0,0,,False,False
Q39,metadata,5,1,1,1,1,1,True,False
Q40,baseline,5,0,0,0,0,,False,False
Q40,metadata,5,1,1,1,1,1,True,False
Q41,baseline,5,0,0,0,0,,False,False
Q41,metadata,5,1,1,1,1,1,True,False
Q42,baseline,5,0,0,0,0,,False,False
Q42,metadata,5,1,1,1,1,1,True,False
Q43,baseline,5,0,0,0,0,,False,False
Q43,metadata,5,1,1,1,1,1,True,False
Q44,baseline,5,0,0,0,0,,False,False
Q44,metadata,5,1,1,1,1,1,True,False
Q45,baseline,5,0,0,0,0,,False,False
Q45,metadata,5,1,1,1,1,1,True,False
Q46,baseline,5,0,0,0,0,,False,False
Q46,metadata,5,1,1,1,1,1,True,False
Q47,baseline,5,0,0,0,0,,False,False
Q47,metadata,5,1,1,1,1,1,True,False
Q48,baseline,5,0,0,0,0,,False,False
Q48,metadata,5,1,1,1,1,1,True,False
Q49,baseline,5,0,0,0,0,,False,False
Q49,metadata,5,1,1,1,1,1,True,False
Q50,baseline,5,0,0,0,0,,False,False
Q50,metadata,5,1,1,1,1,1,True,False
