question_id,baseline_context_relevance,metadata_context_relevance,delta_context_relevance,comparison_context_relevance,baseline_faithfulness,metadata_faithfulness,delta_faithfulness,comparison_faithfulness,baseline_answer_relevance,metadata_answer_relevance,delta_answer_relevance,comparison_answer_relevance
Q01,1,1,0,equal,1,1,0,equal,0.7752554302,0.7752554302,0,equal
Q02,1,1,0,equal,1,1,0,equal,0.8980438174,0.8937488961,-0.0042949213,metadata_lower
Q03,0.5,1,0.5,metadata_higher,0.8888888889,1,0.1111111111,metadata_higher,0.8947299409,0.7994447183,-0.0952852226,metadata_lower
Q04,0.5,0.5,0,equal,1,1,0,equal,0.7052815877,0.8218066723,0.1165250846,metadata_higher
Q05,1,1,0,equal,0.2857142857,0.2857142857,0,equal,0.8549927963,0.940549117,0.0855563207,metadata_higher
Q06,1,1,0,equal,1,1,0,equal,0.8711040101,0.8108325015,-0.0602715086,metadata_lower
Q07,1,1,0,equal,1,1,0,equal,0.9162256355,0.8908810599,-0.0253445756,metadata_lower
Q08,1,1,0,equal,1,1,0,equal,0.927841942,0.919406382,-0.00843556,metadata_lower
Q09,1,1,0,equal,1,1,0,equal,0.9403771648,0.9367106822,-0.0036664826,metadata_lower
Q10,1,1,0,equal,0.6923076923,0.9333333333,0.241025641,metadata_higher,0.722350758,0.7095794707,-0.0127712873,metadata_lower
Q11,1,1,0,equal,1,1,0,equal,0.7383961924,0.7031560291,-0.0352401633,metadata_lower
Q12,1,1,0,equal,1,1,0,equal,0.8039901845,0.8017981872,-0.0021919973,metadata_lower
Q13,1,1,0,equal,1,1,0,equal,1,1,0,equal
Q14,1,1,0,equal,1,1,0,equal,0.7832675463,0.7646918029,-0.0185757434,metadata_lower
Q15,1,1,0,equal,1,1,0,equal,0.8974865979,0.8970357926,-0.0004508053,metadata_lower
Q16,1,1,0,equal,1,1,0,equal,0.903502165,0.9556252377,0.0521230727,metadata_higher
Q17,1,1,0,equal,0.8333333333,0.8571428571,0.0238095238,metadata_higher,0.7112238452,0.7303282874,0.0191044422,metadata_higher
Q18,0.5,1,0.5,metadata_higher,0.5,1,0.5,metadata_higher,0.8966082425,0.9374789221,0.0408706796,metadata_higher
Q19,0.5,1,0.5,metadata_higher,0.1666666667,1,0.8333333333,metadata_higher,0.887046846,0.970898626,0.08385178,metadata_higher
Q20,1,1,0,equal,0.7,1,0.3,metadata_higher,0.8494269442,0.8694205065,0.0199935623,metadata_higher
Q21,1,1,0,equal,1,1,0,equal,0.8030887907,0.8694715333,0.0663827426,metadata_higher
Q22,1,1,0,equal,1,1,0,equal,0.9560808421,0.9560808421,0,equal
Q23,1,1,0,equal,1,1,0,equal,0.8171112098,0.8159872741,-0.0011239357,metadata_lower
Q24,1,1,0,equal,1,1,0,equal,0.852133732,0.9437431752,0.0916094432,metadata_higher
Q25,0.5,0.5,0,equal,0.3333333333,0.4,0.0666666667,metadata_higher,0.9253442002,0.9506033815,0.0252591813,metadata_higher
Q26,1,1,0,equal,1,1,0,equal,0.9580687385,1,0.0419312615,metadata_higher
Q27,1,1,0,equal,1,1,0,equal,0.8427423925,0.6100265214,-0.2327158711,metadata_lower
Q28,1,1,0,equal,1,0.8333333333,-0.1666666667,metadata_lower,0.6894879352,0.6894879352,0,equal
Q29,1,1,0,equal,1,1,0,equal,0.9438241899,0.8638513752,-0.0799728147,metadata_lower
Q30,1,1,0,equal,1,1,0,equal,0.8615030587,0.8959991726,0.0344961139,metadata_higher
Q31,1,1,0,equal,1,1,0,equal,0.7517383925,0.8819729735,0.130234581,metadata_higher
Q32,1,1,0,equal,1,1,0,equal,0.8159341954,0.7636465204,-0.052287675,metadata_lower
Q33,1,1,0,equal,1,1,0,equal,0.9402255079,0.8946019966,-0.0456235113,metadata_lower
Q34,0.5,1,0.5,metadata_higher,0.3,1,0.7,metadata_higher,0.897360903,0.9033132644,0.0059523614,metadata_higher
Q35,1,1,0,equal,1,1,0,equal,0.8783716853,0.8715012263,-0.006870459,metadata_lower
Q36,1,1,0,equal,1,1,0,equal,0.8665153765,0.8633640069,-0.0031513696,metadata_lower
Q37,0,1,1,metadata_higher,0,1,1,metadata_higher,0,0.6745020828,0.6745020828,metadata_higher
Q38,1,1,0,equal,1,1,0,equal,0.9474612852,0.8534643061,-0.0939969791,metadata_lower
Q39,1,1,0,equal,0.75,1,0.25,metadata_higher,0.8729622685,0.8745289195,0.001566651,metadata_higher
Q40,1,1,0,equal,1,1,0,equal,0.9466976971,0.9298426923,-0.0168550048,metadata_lower
Q41,1,1,0,equal,0.8571428571,1,0.1428571429,metadata_higher,0.8914533001,0.8965882826,0.0051349825,metadata_higher
Q42,1,1,0,equal,1,1,0,equal,0.6981504015,0.7633810575,0.065230656,metadata_higher
Q43,1,1,0,equal,1,1,0,equal,0.9047695479,0.9087163389,0.003946791,metadata_higher
Q44,1,1,0,equal,1,1,0,equal,0.7770245412,0.8961844946,0.1191599534,metadata_higher
Q45,1,1,0,equal,1,1,0,equal,0.956386379,0.9546180427,-0.0017683363,metadata_lower
Q46,1,1,0,equal,1,1,0,equal,0.7014574672,0.6998113709,-0.0016460963,metadata_lower
Q47,1,1,0,equal,1,1,0,equal,0.8611476001,0.850016698,-0.0111309021,metadata_lower
Q48,1,1,0,equal,1,1,0,equal,0.9270582068,0.9274599761,0.0004017693,metadata_higher
Q49,1,1,0,equal,1,1,0,equal,0.7717581607,0.8027494013,0.0309912406,metadata_higher
Q50,1,1,0,equal,1,1,0,equal,0.7379374002,0.8331131153,0.0951757151,metadata_higher
