question_id,pipeline,context_relevance,faithfulness,answer_relevance,score_complete,has_error
Q01,baseline,1,1,0.7752554302,1,0
Q01,metadata,1,1,0.7752554302,1,0
Q02,baseline,1,1,0.8980438174,1,0
Q02,metadata,1,1,0.8937488961,1,0
Q03,baseline,0.5,0.8888888889,0.8947299409,1,0
Q03,metadata,1,1,0.7994447183,1,0
Q04,baseline,0.5,1,0.7052815877,1,0
Q04,metadata,0.5,1,0.8218066723,1,0
Q05,baseline,1,0.2857142857,0.8549927963,1,0
Q05,metadata,1,0.2857142857,0.940549117,1,0
Q06,baseline,1,1,0.8711040101,1,0
Q06,metadata,1,1,0.8108325015,1,0
Q07,baseline,1,1,0.9162256355,1,0
Q07,metadata,1,1,0.8908810599,1,0
Q08,baseline,1,1,0.927841942,1,0
Q08,metadata,1,1,0.919406382,1,0
Q09,baseline,1,1,0.9403771648,1,0
Q09,metadata,1,1,0.9367106822,1,0
Q10,baseline,1,0.6923076923,0.722350758,1,0
Q10,metadata,1,0.9333333333,0.7095794707,1,0
Q11,baseline,1,1,0.7383961924,1,0
Q11,metadata,1,1,0.7031560291,1,0
Q12,baseline,1,1,0.8039901845,1,0
Q12,metadata,1,1,0.8017981872,1,0
Q13,baseline,1,1,1,1,0
Q13,metadata,1,1,1,1,0
Q14,baseline,1,1,0.7832675463,1,0
Q14,metadata,1,1,0.7646918029,1,0
Q15,baseline,1,1,0.8974865979,1,0
Q15,metadata,1,1,0.8970357926,1,0
Q16,baseline,1,1,0.903502165,1,0
Q16,metadata,1,1,0.9556252377,1,0
Q17,baseline,1,0.8333333333,0.7112238452,1,0
Q17,metadata,1,0.8571428571,0.7303282874,1,0
Q18,baseline,0.5,0.5,0.8966082425,1,0
Q18,metadata,1,1,0.9374789221,1,0
Q19,baseline,0.5,0.1666666667,0.887046846,1,0
Q19,metadata,1,1,0.970898626,1,0
Q20,baseline,1,0.7,0.8494269442,1,0
Q20,metadata,1,1,0.8694205065,1,0
Q21,baseline,1,1,0.8030887907,1,0
Q21,metadata,1,1,0.8694715333,1,0
Q22,baseline,1,1,0.9560808421,1,0
Q22,metadata,1,1,0.9560808421,1,0
Q23,baseline,1,1,0.8171112098,1,0
Q23,metadata,1,1,0.8159872741,1,0
Q24,baseline,1,1,0.852133732,1,0
Q24,metadata,1,1,0.9437431752,1,0
Q25,baseline,0.5,0.3333333333,0.9253442002,1,0
Q25,metadata,0.5,0.4,0.9506033815,1,0
Q26,baseline,1,1,0.9580687385,1,0
Q26,metadata,1,1,1,1,0
Q27,baseline,1,1,0.8427423925,1,0
Q27,metadata,1,1,0.6100265214,1,0
Q28,baseline,1,1,0.6894879352,1,0
Q28,metadata,1,0.8333333333,0.6894879352,1,0
Q29,baseline,1,1,0.9438241899,1,0
Q29,metadata,1,1,0.8638513752,1,0
Q30,baseline,1,1,0.8615030587,1,0
Q30,metadata,1,1,0.8959991726,1,0
Q31,baseline,1,1,0.7517383925,1,0
Q31,metadata,1,1,0.8819729735,1,0
Q32,baseline,1,1,0.8159341954,1,0
Q32,metadata,1,1,0.7636465204,1,0
Q33,baseline,1,1,0.9402255079,1,0
Q33,metadata,1,1,0.8946019966,1,0
Q34,baseline,0.5,0.3,0.897360903,1,0
Q34,metadata,1,1,0.9033132644,1,0
Q35,baseline,1,1,0.8783716853,1,0
Q35,metadata,1,1,0.8715012263,1,0
Q36,baseline,1,1,0.8665153765,1,0
Q36,metadata,1,1,0.8633640069,1,0
Q37,baseline,0,0,0,1,0
Q37,metadata,1,1,0.6745020828,1,0
Q38,baseline,1,1,0.9474612852,1,0
Q38,metadata,1,1,0.8534643061,1,0
Q39,baseline,1,0.75,0.8729622685,1,0
Q39,metadata,1,1,0.8745289195,1,0
Q40,baseline,1,1,0.9466976971,1,0
Q40,metadata,1,1,0.9298426923,1,0
Q41,baseline,1,0.8571428571,0.8914533001,1,0
Q41,metadata,1,1,0.8965882826,1,0
Q42,baseline,1,1,0.6981504015,1,0
Q42,metadata,1,1,0.7633810575,1,0
Q43,baseline,1,1,0.9047695479,1,0
Q43,metadata,1,1,0.9087163389,1,0
Q44,baseline,1,1,0.7770245412,1,0
Q44,metadata,1,1,0.8961844946,1,0
Q45,baseline,1,1,0.956386379,1,0
Q45,metadata,1,1,0.9546180427,1,0
Q46,baseline,1,1,0.7014574672,1,0
Q46,metadata,1,1,0.6998113709,1,0
Q47,baseline,1,1,0.8611476001,1,0
Q47,metadata,1,1,0.850016698,1,0
Q48,baseline,1,1,0.9270582068,1,0
Q48,metadata,1,1,0.9274599761,1,0
Q49,baseline,1,1,0.7717581607,1,0
Q49,metadata,1,1,0.8027494013,1,0
Q50,baseline,1,1,0.7379374002,1,0
Q50,metadata,1,1,0.8331131153,1,0
