question_id,question,source_page,chapter,section,labels
Q01,Diabetes melitus pada anak itu sebenarnya apa?,13,BAB III,A. Definisi dan Klasifikasi,"[""definisi diabetes""]"
Q02,"Di PNPK, diabetes pada anak dibagi menjadi jenis apa saja?",13,BAB III,A. Definisi dan Klasifikasi,"[""klasifikasi diabetes"",""definisi diabetes""]"
Q03,"Kalau ingin menegakkan diagnosis diabetes pada anak, apa saja kriteria utamanya?",16,BAB III,B. Diagnosis,"[""diagnosis umum diabetes""]"
Q04,"Kalau anak tidak punya gejala diabetes, apakah satu kali hasil pemeriksaan sudah cukup untuk menegakkan diagnosis?",16,BAB III,B. Diagnosis,"[""diagnosis umum diabetes"",""pemantauan hba1c""]"
Q05,"Pada anak dengan DM tipe-1, gejala yang paling sering muncul biasanya apa saja?",17,BAB III,C. Diabetes Melitus Tipe-1,"[""diagnosis dm tipe-1""]"
Q06,"Kalau anak mengalami ketoasidosis diabetik, tanda kegawatannya biasanya apa saja?",20,BAB III,C. Diabetes Melitus Tipe-1,"[""komplikasi akut kad""]"
Q07,"Pada DM tipe-1, apa yang dimaksud dengan periode remisi parsial?",21,BAB III,C. Diabetes Melitus Tipe-1,"[""pengelolaan dm tipe-1"",""hipoglikemia"",""pemantauan hba1c""]"
Q08,"Dalam pengelolaan DM tipe-1 pada anak, komponen utamanya apa saja?",22,BAB III,C. Diabetes Melitus Tipe-1,"[""pengelolaan dm tipe-1"",""edukasi diabetes dm tipe-1"",""pengaturan makan dm tipe-1""]"
Q09,Kenapa insulin jadi bagian yang sangat penting dalam pengelolaan DM tipe-1?,23,BAB III,C. Diabetes Melitus Tipe-1,"[""terapi insulin"",""jenis insulin"",""regimen insulin""]"
Q10,Apa perbedaan cara kerja beberapa jenis insulin yang disebut di PNPK?,23,BAB III,C. Diabetes Melitus Tipe-1,"[""jenis insulin"",""regimen insulin""]"
Q11,Insulin kerja menengah biasanya digunakan seperti apa?,27,BAB III,C. Diabetes Melitus Tipe-1,"[""terapi insulin"",""regimen insulin"",""jenis insulin""]"
Q12,"Kalau menyimpan insulin dan memakai jarum suntik di rumah, hal apa saja yang perlu diperhatikan?",31,BAB III,C. Diabetes Melitus Tipe-1,"[""penyimpanan insulin"",""teknik penyuntikan insulin""]"
Q13,Apa tujuan pengaturan makan pada anak dengan diabetes melitus tipe-1?,41,BAB III,C. Diabetes Melitus Tipe-1,"[""pengaturan makan dm tipe-1"",""edukasi diabetes dm tipe-1""]"
Q14,"Untuk anak dan remaja dengan diabetes, HbA1c sebaiknya dipantau seperti apa?",51,BAB III,C. Diabetes Melitus Tipe-1,"[""pemantauan hba1c"",""hipoglikemia""]"
Q15,"Menurut PNPK, apa saja kriteria untuk mendiagnosis ketoasidosis diabetik?",73,BAB III,C. Diabetes Melitus Tipe-1,"[""komplikasi akut kad"",""diagnosis dm tipe-1""]"
Q16,Komplikasi kronik apa saja yang perlu diwaspadai pada DM tipe-1?,90,BAB III,C. Diabetes Melitus Tipe-1,"[""komplikasi kronik dm tipe-1""]"
Q17,"Kalau dicurigai DM tipe-2 pada anak, pendekatan diagnosisnya seperti apa?",96,BAB III,D. Diabetes Melitus Tipe-2,"[""diagnosis dm tipe-2""]"
Q18,Anak atau remaja seperti apa yang dianggap berisiko tinggi mengalami DM tipe-2?,96,BAB III,D. Diabetes Melitus Tipe-2,"[""skrining dm tipe-2"",""diagnosis dm tipe-2""]"
Q19,Tujuan manajemen DM tipe-2 pada anak itu apa?,97,BAB III,D. Diabetes Melitus Tipe-2,"[""edukasi dm tipe-2"",""gaya hidup dm tipe-2"",""pengaturan makan dm tipe-2""]"
