question_id,pipeline,rank,chunk_id,score,distance,page,chapter,section,labels,metadata_filter_used,metadata_filter_fallback_used
Q01,baseline,1,A-0011,0.2750294209,0.7249705791,,,,,0,0
Q01,baseline,2,A-0001,0.261785388,0.738214612,,,,,0,0
Q01,baseline,3,A-0130,0.2288268805,0.7711731195,,,,,0,0
Q01,baseline,4,A-0003,0.2154460549,0.7845539451,,,,,0,0
Q01,baseline,5,A-0205,0.2077996731,0.7922003269,,,,,0,0
Q01,metadata,1,B-0001,0.261785388,0.738214612,13,BAB III,A. Definisi dan Klasifikasi,klasifikasi diabetes|definisi diabetes|pemeriksaan c-peptida,1,0
Q02,baseline,1,A-0003,0.3288263679,0.6711736321,,,,,0,0
Q02,baseline,2,A-0001,0.3139884472,0.6860115528,,,,,0,0
Q02,baseline,3,A-0011,0.2574501038,0.7425498962,,,,,0,0
Q02,baseline,4,A-0130,0.2112286091,0.7887713909,,,,,0,0
Q02,baseline,5,A-0004,0.2091397643,0.7908602357,,,,,0,0
Q02,metadata,1,B-0003,0.3288263679,0.6711736321,14,BAB III,A. Definisi dan Klasifikasi,klasifikasi diabetes|diagnosis dm tipe-1,1,0
Q02,metadata,2,B-0001,0.3139884472,0.6860115528,13,BAB III,A. Definisi dan Klasifikasi,klasifikasi diabetes|definisi diabetes|pemeriksaan c-peptida,1,0
Q02,metadata,3,B-0004,0.2091397643,0.7908602357,14,BAB III,A. Definisi dan Klasifikasi,klasifikasi diabetes|diagnosis dm tipe-1|pemeriksaan c-peptida,1,0
Q02,metadata,4,B-0002,0.1807547808,0.8192452192,13,BAB III,A. Definisi dan Klasifikasi,klasifikasi diabetes|pemeriksaan c-peptida,1,0
Q02,metadata,5,B-0006,0.1509258747,0.8490741253,15,BAB III,A. Definisi dan Klasifikasi,diagnosis dm tipe-1|klasifikasi diabetes,1,0
Q03,baseline,1,A-0011,0.3600246906,0.6399753094,,,,,0,0
Q03,baseline,2,A-0080,0.352124691,0.647875309,,,,,0,0
Q03,baseline,3,A-0010,0.3345874548,0.6654125452,,,,,0,0
Q03,baseline,4,A-0207,0.3225607872,0.6774392128,,,,,0,0
Q03,baseline,5,A-0221,0.322481513,0.677518487,,,,,0,0
Q03,metadata,1,B-0010,0.3345874548,0.6654125452,17,BAB III,C. Diabetes Melitus Tipe-1,pemeriksaan c-peptida|pemeriksaan insulin|diagnosis umum diabetes,1,0
Q03,metadata,2,B-0007,0.2522304058,0.7477695942,16,BAB III,B. Diagnosis,diagnosis umum diabetes,1,0
Q03,metadata,3,B-0009,0.148381114,0.851618886,16,BAB III,B. Diagnosis,diagnosis umum diabetes,1,0
Q03,metadata,4,B-0008,0.0976364613,0.9023635387,16,BAB III,B. Diagnosis,diagnosis umum diabetes,1,0
Q04,baseline,1,A-0010,0.3120986223,0.6879013777,,,,,0,0
Q04,baseline,2,A-0080,0.2972820997,0.7027179003,,,,,0,0
Q04,baseline,3,A-0011,0.2804862261,0.7195137739,,,,,0,0
Q04,baseline,4,A-0014,0.2786103487,0.7213896513,,,,,0,0
Q04,baseline,5,A-0009,0.272300303,0.727699697,,,,,0,0
Q04,metadata,1,B-0010,0.3120986223,0.6879013777,17,BAB III,C. Diabetes Melitus Tipe-1,pemeriksaan c-peptida|pemeriksaan insulin|diagnosis umum diabetes,1,0
